Gene.stable.ID	Gene.name
ENSCHAG00000007634	nlrp3
ENSCHAG00000007646	trim13
ENSCHAG00000007674	nlrc5
ENSCHAG00000007744	nlrp1
ENSCHAG00000007761	trim13
ENSCHAG00000007767	hsp30
ENSCHAG00000007793	SHKBP1
ENSCHAG00000007796	gvin1
ENSCHAG00000007798	nlrc3
ENSCHAG00000007800	trim13
ENSCHAG00000007813	hsp30
ENSCHAG00000007828	gimap9
ENSCHAG00000007831	nlrp3
ENSCHAG00000007840	
ENSCHAG00000007861	rnh1
ENSCHAG00000007865	
ENSCHAG00000007880	l1td1
ENSCHAG00000007883	gimap7
ENSCHAG00000007887	ogal
ENSCHAG00000007892	cd84
ENSCHAG00000007903	
ENSCHAG00000007926	gimap9
ENSCHAG00000007927	cntn5
ENSCHAG00000007930	si:dkey-61p9.11
ENSCHAG00000007933	fn1
ENSCHAG00000007960	l1cam
ENSCHAG00000007968	urgcp
ENSCHAG00000007978	slamf9
ENSCHAG00000008001	l1cam
ENSCHAG00000008005	gimap9
ENSCHAG00000008012	gvinp1
ENSCHAG00000008016	slamf9
ENSCHAG00000008022	sart1
ENSCHAG00000008039	b2m
ENSCHAG00000008044	nlrp1
ENSCHAG00000008046	slamf9
ENSCHAG00000008095	il10rb
ENSCHAG00000008110	slamf9
ENSCHAG00000008132	
ENSCHAG00000008156	ifi44
ENSCHAG00000008157	rnasel3
ENSCHAG00000008162	ifi44
ENSCHAG00000008167	hspg2
ENSCHAG00000008168	fbh1
ENSCHAG00000008171	cntn5
ENSCHAG00000008196	nlrc5
ENSCHAG00000008200	fcgr2
ENSCHAG00000008211	nlrp1
ENSCHAG00000008230	fcrl5
ENSCHAG00000008248	
ENSCHAG00000008257	
ENSCHAG00000008295	
ENSCHAG00000008306	
ENSCHAG00000008312	nlrc3
ENSCHAG00000008318	cntn5
ENSCHAG00000008324	NAGA
ENSCHAG00000008326	nlrc5
ENSCHAG00000008337	fbh1
ENSCHAG00000008354	mynn
ENSCHAG00000008361	fcgr1
ENSCHAG00000008381	fbh1
ENSCHAG00000008383	nlrp1
ENSCHAG00000008401	fcgr1
ENSCHAG00000008406	
ENSCHAG00000008407	hspg2
ENSCHAG00000008451	igkc
ENSCHAG00000008455	fcrl5
ENSCHAG00000008458	igkv1d-39
ENSCHAG00000008472	decr2
ENSCHAG00000008487	igkc
ENSCHAG00000008496	nlrp1
ENSCHAG00000008497	gimap8
ENSCHAG00000008516	
ENSCHAG00000008533	fcgr2a
ENSCHAG00000008542	igkv1-9
ENSCHAG00000008548	fcgr2
ENSCHAG00000008555	trim16
ENSCHAG00000008563	nlrp1
ENSCHAG00000008573	ceacam5
ENSCHAG00000008574	igkv1d-12
ENSCHAG00000008588	igkv6d-21
ENSCHAG00000008590	igkv1-33
ENSCHAG00000008593	btnl10
ENSCHAG00000008602	igkv6d-21
ENSCHAG00000008607	igkv1d-12
ENSCHAG00000008624	igkv6d-41
ENSCHAG00000008625	igkv1d-39
ENSCHAG00000008634	trim16
ENSCHAG00000008635	fcgr1
ENSCHAG00000008646	igkc
ENSCHAG00000008657	trim13
ENSCHAG00000008661	igkv1-33
ENSCHAG00000008666	trim16
ENSCHAG00000008668	trim13
ENSCHAG00000008670	fcrl5
ENSCHAG00000008678	gimap4
ENSCHAG00000008690	igkv1d-39
ENSCHAG00000008702	asb10
ENSCHAG00000008705	fcrl5
ENSCHAG00000008706	mog
ENSCHAG00000008715	SUMO1
ENSCHAG00000008731	cd22
ENSCHAG00000008740	
ENSCHAG00000008768	nlrp1
ENSCHAG00000008778	btnl2
ENSCHAG00000008818	nlrc5
ENSCHAG00000008883	nlrp1
ENSCHAG00000008903	
ENSCHAG00000008943	nlrp1
ENSCHAG00000008950	rnh1
ENSCHAG00000008952	rnft1
ENSCHAG00000008986	carf
ENSCHAG00000008993	lgals17
